company_name,industry,job_title,skills_required,experience_level,employment_type,location,posted_date,company_size,tools_preferred,salary_min,salary_max
Martin and Sons,E-commerce,NLP Engineer,"C++, Hugging Face, Python, FastAPI",Entry,Full-time,"South Michael, FM",2023-09-27,Startup,LangChain,102770,117026
Frank-Duarte,Retail,Quant Researcher,"Excel, MLflow, NumPy, Hugging Face, LangChain, FastAPI",Senior,Full-time,"Christianberg, GQ",2024-11-20,Mid,"LangChain, TensorFlow, Scikit-learn",137004,193975
Rogers Ltd,Education,NLP Engineer,"Pandas, CUDA, NumPy, FastAPI",Mid,Internship,"New Katieborough, FJ",2024-07-08,Large,FastAPI,95581.5,151635
Wright-Evans,Automotive,NLP Engineer,"Hugging Face, Scikit-learn, Reinforcement Learning",Senior,Remote,"Stephaniechester, LU",2024-04-06,Startup,TensorFlow,124669,217866
Preston Ltd,E-commerce,ML Engineer,"MLflow, R, C++",Entry,Full-time,"South Tim, CZ",2025-05-14,Mid,LangChain,137523,180097
Smith-Moore,Automotive,AI Product Manager,"Excel, MLflow, Hugging Face, Flask, Power BI",Entry,Internship,"Blevinsburgh, VU",2024-04-29,Startup,BigQuery,138184,192857
Webb and Sons,Healthcare,Data Scientist,"AWS, Azure, Power BI, CUDA, Reinforcement Learning, Hugging Face",Senior,Remote,"Parkmouth, CA",2024-10-19,Mid,"BigQuery, FastAPI, KDB+",100845,159745
Gates LLC,E-commerce,ML Engineer,"R, CUDA, Power BI, AWS",Mid,Internship,"Stevenhaven, BW",2024-08-29,Large,MLflow,115578,207180
"Whitaker, Walker and Sandoval",Retail,Quant Researcher,"C++, Power BI, R, SQL, Keras, Azure",Entry,Remote,"Gregorymouth, LV",2024-01-19,Large,"Scikit-learn, BigQuery, PyTorch",122521,175168
Humphrey LLC,Retail,Quant Researcher,"LangChain, NumPy, CUDA, C++, MLflow, R",Entry,Full-time,"Lake Alexander, RU",2023-12-28,Large,"PyTorch, LangChain",62483,105216
"Adams, Stevenson and Wagner",E-commerce,NLP Engineer,"CUDA, FastAPI, Scikit-learn, MLflow, Hugging Face",Mid,Remote,"North Nicholas, SN",2024-11-25,Startup,"PyTorch, Scikit-learn, KDB+",95581.5,151635
"Thomas, Hurst and Becker",Tech,NLP Engineer,"PyTorch, CUDA, Hugging Face, Flask, C++",Senior,Internship,"Leeton, MW",2023-12-06,Startup,Scikit-learn,95581.5,151635
Sherman-Nguyen,Healthcare,NLP Engineer,"Python, Reinforcement Learning, MLflow",Mid,Internship,"Suzanneview, TW",2025-06-13,Mid,FastAPI,89840,109693
Johnson-Keller,Finance,NLP Engineer,"PyTorch, Reinforcement Learning, FastAPI, Power BI, Python, R",Mid,Remote,"Whitestad, BB",2024-12-20,Mid,"FastAPI, PyTorch, KDB+",107786,126713
Le PLC,Education,Quant Researcher,"Azure, Flask, FastAPI, Hugging Face, Power BI, Python",Senior,Internship,"Taraburgh, DZ",2025-01-02,Large,"TensorFlow, Scikit-learn, FastAPI",44309,77284
"Abbott, Nielsen and Young",Healthcare,Data Analyst,"R, Python, Pandas",Entry,Contract,"New Richard, TD",2025-02-28,Startup,"PyTorch, MLflow",124616,172767
Thomas-Ruiz,Finance,Data Analyst,"Flask, Hugging Face, Pandas, Python, Scikit-learn, Keras",Mid,Internship,"South Donaldton, GE",2025-01-31,Startup,"Scikit-learn, FastAPI, LangChain",142616,216391
"Good, Ware and Cruz",Finance,Data Analyst,"Scikit-learn, SQL, Azure",Entry,Contract,"North Michael, TT",2024-06-07,Startup,TensorFlow,70932,161568
Gay PLC,Tech,Quant Researcher,"Keras, Excel, TensorFlow",Senior,Full-time,"Port Patriciaport, TG",2024-06-27,Startup,"KDB+, PyTorch",54565,94461
Kirby-Zuniga,Healthcare,Data Scientist,"Hugging Face, Scikit-learn, C++, Excel, Azure",Entry,Full-time,"Danielchester, ID",2023-09-22,Mid,"LangChain, KDB+",112660,179478
"Castillo, Campbell and Robinson",Tech,AI Product Manager,"Keras, PyTorch, AWS, FastAPI, CUDA",Mid,Internship,"Alexandriaburgh, KN",2024-09-30,Startup,"TensorFlow, Scikit-learn",95581.5,151635
Carter LLC,Finance,NLP Engineer,"MLflow, Keras, SQL, GCP, Power BI",Senior,Internship,"West Charles, TT",2023-11-25,Startup,PyTorch,110439,183071
Hall Group,Automotive,Computer Vision Engineer,"GCP, C++, Excel",Entry,Contract,"North Denise, MC",2024-04-01,Large,"TensorFlow, Scikit-learn",95581.5,151635
Huynh PLC,Finance,Computer Vision Engineer,"PyTorch, LangChain, R",Mid,Remote,"Kirbyside, LT",2023-12-25,Startup,"Scikit-learn, FastAPI, MLflow",87250,156869
"Smith, Haas and Mendez",Retail,AI Researcher,"Excel, SQL, Python",Entry,Contract,"Lake John, AU",2024-11-16,Mid,"Scikit-learn, LangChain, KDB+",95581.5,151635
"Briggs, Shaw and Berry",E-commerce,ML Engineer,"SQL, Hugging Face, TensorFlow",Mid,Remote,"East Ashleyland, PL",2025-05-14,Startup,MLflow,116061,159814
Boyd PLC,Retail,Data Scientist,"PyTorch, Power BI, AWS, FastAPI",Senior,Internship,"Port Misty, NL",2024-06-10,Mid,LangChain,87411,136106
"Sanders, Mejia and Townsend",Automotive,Data Analyst,"Power BI, PyTorch, GCP, CUDA, Keras, Scikit-learn",Entry,Internship,"Deleonchester, HN",2025-06-27,Mid,"FastAPI, Scikit-learn, LangChain",88562,159008
Hernandez Inc,E-commerce,Quant Researcher,"NumPy, AWS, Excel, SQL, Keras",Senior,Remote,"Nicoleport, BF",2025-02-08,Mid,"Scikit-learn, TensorFlow, BigQuery",95581.5,151635
"Parrish, White and Grant",E-commerce,NLP Engineer,"R, Power BI, CUDA, MLflow",Mid,Full-time,"Kimside, BW",2023-11-10,Startup,TensorFlow,126443,145937
"Carroll, Lucero and Lambert",Healthcare,AI Product Manager,"NumPy, SQL, Python, Reinforcement Learning, LangChain",Entry,Full-time,"Simsside, TD",2024-09-05,Large,"PyTorch, TensorFlow, FastAPI",99978,189975
"Thomas, Waller and Kelly",Education,Quant Researcher,"Hugging Face, Flask, TensorFlow, Excel, SQL",Entry,Contract,"South Jeremiah, MX",2025-03-11,Large,"TensorFlow, LangChain, PyTorch",65214,151832
"Franklin, Wright and Berg",Automotive,Quant Researcher,"Hugging Face, Pandas, CUDA, LangChain, FastAPI",Mid,Internship,"Ramirezmouth, PK",2025-03-16,Mid,KDB+,71101,158421
"Coleman, Gray and Roach",Healthcare,ML Engineer,"LangChain, AWS, GCP",Entry,Internship,"New Rachelmouth, IT",2025-02-14,Startup,"FastAPI, MLflow, TensorFlow",119200,129563
Mooney-Decker,Finance,Data Scientist,"Scikit-learn, PyTorch, Flask, Azure",Mid,Contract,"Jennyland, TR",2024-08-04,Startup,"PyTorch, BigQuery",122083,203812
Wood LLC,Automotive,Computer Vision Engineer,"GCP, TensorFlow, Power BI",Entry,Contract,"Port Johnville, MA",2025-02-21,Mid,"MLflow, BigQuery, LangChain",144773,159408
Copeland Group,Education,NLP Engineer,"TensorFlow, LangChain, PyTorch, Power BI, R",Entry,Remote,"North Josephshire, YE",2024-03-19,Mid,"KDB+, PyTorch, MLflow",78317,161397
Richards PLC,Finance,NLP Engineer,"Power BI, CUDA, C++, Pandas, SQL, AWS",Entry,Full-time,"Lewismouth, TD",2024-05-07,Mid,"FastAPI, KDB+, Scikit-learn",75575,120477
"Melendez, Williams and Williamson",E-commerce,AI Product Manager,"TensorFlow, Keras, PyTorch, AWS, Scikit-learn",Entry,Full-time,"Steinside, IT",2023-09-27,Large,BigQuery,95581.5,151635
"Ellis, Crane and Boyle",E-commerce,Computer Vision Engineer,"Azure, Keras, Scikit-learn, Hugging Face, Excel, R",Entry,Contract,"North Jason, MR",2025-05-30,Mid,"LangChain, KDB+, FastAPI",73140,164506
Foley-Moore,Finance,Data Scientist,"Keras, Pandas, Python, FastAPI, CUDA, Scikit-learn",Mid,Contract,"Thomasfort, KG",2025-05-17,Mid,MLflow,69031,115150
Wright and Sons,Tech,Quant Researcher,"R, SQL, Python, PyTorch",Mid,Full-time,"Chavezstad, TG",2024-11-09,Large,"LangChain, BigQuery, MLflow",49382,141727
Williams-Vargas,Healthcare,Quant Researcher,"Keras, Excel, FastAPI, Azure, R, PyTorch",Senior,Full-time,"Carlland, ME",2024-11-10,Startup,"FastAPI, TensorFlow, BigQuery",135916,233596
Hill-Huff,Tech,ML Engineer,"Power BI, LangChain, Flask, Excel, SQL, CUDA",Senior,Remote,"Jessicamouth, PT",2025-04-23,Startup,"BigQuery, PyTorch, TensorFlow",149271,215582
Meyer PLC,Education,Data Analyst,"AWS, Excel, Azure",Entry,Internship,"Caitlynmouth, MR",2023-11-16,Mid,"LangChain, Scikit-learn, PyTorch",56348,123497
Boyd-Carlson,Retail,ML Engineer,"Excel, AWS, Keras, Azure, FastAPI, R",Senior,Full-time,"Villarrealhaven, KI",2025-02-11,Large,"MLflow, LangChain",69159,139847
Scott-Gardner,Tech,AI Researcher,"FastAPI, C++, Excel, Flask, Pandas",Senior,Remote,"North Laurie, BI",2025-06-21,Large,"FastAPI, PyTorch, LangChain",78305,162525
Jackson Group,Finance,AI Product Manager,"TensorFlow, C++, SQL, Hugging Face, Flask, Power BI",Mid,Internship,"East Juliashire, TR",2023-09-25,Large,BigQuery,64238,115477
"Sullivan, Silva and Sawyer",Finance,Data Analyst,"Power BI, Excel, GCP",Senior,Remote,"North Jonathan, NL",2024-06-27,Mid,MLflow,53583,148644
"Page, Bonilla and Cohen",Retail,AI Product Manager,"Python, FastAPI, Scikit-learn, Hugging Face, Power BI, Flask",Entry,Remote,"Port Jacobchester, SB",2024-05-08,Startup,LangChain,50457,126635
Young-Wright,Retail,Computer Vision Engineer,"Hugging Face, Keras, Scikit-learn",Mid,Internship,"Kaylaburgh, NO",2024-10-26,Large,"TensorFlow, LangChain",97883,172449
Patel PLC,E-commerce,AI Product Manager,"Reinforcement Learning, LangChain, Python",Entry,Remote,"South Jamie, KM",2025-02-17,Startup,FastAPI,94965,141198
"Lopez, Nelson and Meyer",E-commerce,AI Researcher,"Azure, Pandas, Power BI, MLflow",Entry,Internship,"Lake Michelleport, RS",2025-01-06,Startup,"PyTorch, TensorFlow, FastAPI",81202,154117
"Harris, Porter and Walter",Retail,AI Researcher,"C++, Reinforcement Learning, NumPy, Azure, MLflow, Flask",Entry,Contract,"Port Kristenmouth, SA",2023-12-19,Startup,"FastAPI, KDB+",95581.5,151635
Dominguez and Sons,Automotive,AI Product Manager,"LangChain, FastAPI, SQL",Senior,Internship,"Rodriguezstad, ET",2024-04-08,Large,"BigQuery, KDB+",95581.5,151635
Griffith-Garner,Retail,Data Analyst,"NumPy, Python, Azure, GCP, C++, Scikit-learn",Senior,Remote,"Meredithview, LS",2024-12-21,Startup,PyTorch,40995,54162
Smith LLC,Healthcare,Data Analyst,"Power BI, AWS, NumPy, CUDA, MLflow",Mid,Full-time,"South Tylerhaven, LC",2023-12-09,Mid,"LangChain, PyTorch, MLflow",129140,193460
Smith-Jones,Education,Data Analyst,"LangChain, PyTorch, Flask",Entry,Full-time,"South Karenville, BB",2025-06-15,Mid,BigQuery,86690,120765
"Maddox, Steele and Jones",Retail,ML Engineer,"Flask, Scikit-learn, NumPy",Entry,Internship,"Billyfort, YE",2025-03-12,Mid,"FastAPI, PyTorch",85816,149983
Williams PLC,Healthcare,Quant Researcher,"SQL, FastAPI, LangChain, Scikit-learn, NumPy, TensorFlow",Senior,Remote,"New Jefferyfort, TG",2024-02-12,Startup,"FastAPI, LangChain",60805,99890
"Hurst, Manning and Wood",Education,Data Analyst,"Azure, Excel, TensorFlow",Senior,Remote,"Petersenborough, VN",2025-05-02,Large,"PyTorch, BigQuery, Scikit-learn",118377,137651
"Howard, Carr and Joseph",Automotive,NLP Engineer,"C++, MLflow, CUDA, Hugging Face",Mid,Internship,"Leeberg, ME",2023-11-28,Large,"MLflow, PyTorch",81382,175328
Lewis-Smith,Automotive,ML Engineer,"MLflow, NumPy, R, C++, PyTorch",Senior,Remote,"North Christopherfurt, LR",2025-09-09,Startup,KDB+,132555,209536
Luna and Sons,Automotive,AI Researcher,"R, Python, Flask",Mid,Contract,"Weberland, TL",2023-12-06,Mid,"FastAPI, TensorFlow, PyTorch",54185,86768
King-Sheppard,E-commerce,AI Researcher,"FastAPI, Hugging Face, PyTorch",Mid,Internship,"Zamorafurt, UA",2025-07-03,Mid,PyTorch,101020,182230
Meyer-Shaffer,E-commerce,NLP Engineer,"Pandas, Flask, FastAPI, Reinforcement Learning",Mid,Internship,"Sharpborough, DM",2024-02-21,Startup,"LangChain, PyTorch, Scikit-learn",49529,68621
"Ellis, Page and Smith",Tech,Quant Researcher,"Reinforcement Learning, Flask, NumPy, LangChain",Entry,Contract,"North Carriestad, IR",2024-10-12,Startup,LangChain,88756,103530
Martinez-Fitzgerald,Healthcare,ML Engineer,"AWS, TensorFlow, Flask, Power BI",Senior,Internship,"South Charles, CI",2025-01-20,Large,KDB+,95581.5,151635
Johnson Inc,Education,AI Researcher,"Reinforcement Learning, Python, Pandas, TensorFlow",Mid,Internship,"Lake Kristen, AZ",2025-08-03,Large,"Scikit-learn, MLflow, PyTorch",95581.5,151635
Camacho PLC,Finance,Data Analyst,"R, C++, GCP, Hugging Face, LangChain, TensorFlow",Entry,Full-time,"Anthonyland, GQ",2024-01-14,Large,"PyTorch, Scikit-learn, BigQuery",120456,210505
Sweeney-Griffith,Finance,AI Product Manager,"Flask, Azure, C++, Excel",Entry,Internship,"Michaelchester, MK",2025-09-17,Mid,MLflow,86740,124608
"Stafford, Owens and Thompson",Education,Data Analyst,"MLflow, Hugging Face, Python, Scikit-learn",Entry,Full-time,"Lake Debra, AM",2025-04-25,Mid,"MLflow, LangChain, KDB+",78116,122008
"Gonzalez, Watts and Thompson",E-commerce,Computer Vision Engineer,"FastAPI, SQL, Flask, CUDA, C++, Scikit-learn",Mid,Contract,"New Danielburgh, RU",2024-11-01,Startup,"FastAPI, LangChain",42962,75277
Graham Group,Tech,Data Analyst,"LangChain, FastAPI, PyTorch, CUDA, AWS",Senior,Full-time,"Lake Melissaville, PL",2024-03-21,Large,"BigQuery, Scikit-learn, MLflow",51640,64834
Ward-Allen,Education,Quant Researcher,"C++, Power BI, NumPy",Mid,Contract,"Jeffreyburgh, SC",2024-09-10,Large,"LangChain, BigQuery",98118,167073
"Garrett, Hernandez and Anderson",Finance,Quant Researcher,"FastAPI, Scikit-learn, LangChain",Mid,Internship,"Whiteville, SE",2023-11-16,Mid,"LangChain, MLflow",140819,222611
Long Inc,Finance,AI Researcher,"Flask, Python, Power BI, CUDA",Entry,Internship,"Jacksonmouth, UZ",2025-03-23,Startup,"FastAPI, LangChain, BigQuery",82496,127505
Cummings-Nash,Finance,AI Researcher,"Python, SQL, C++, FastAPI",Entry,Internship,"Adamton, HR",2023-10-17,Startup,"KDB+, LangChain",124249,174855
"Sawyer, Donovan and Vargas",Automotive,NLP Engineer,"TensorFlow, Power BI, FastAPI, LangChain, Scikit-learn, Python",Mid,Contract,"Lake Erica, NL",2023-10-19,Startup,"BigQuery, KDB+, LangChain",81426,145890
"Stewart, Gutierrez and Simpson",Tech,Data Scientist,"GCP, LangChain, Keras",Entry,Internship,"South Paige, VC",2025-03-21,Large,"LangChain, FastAPI, Scikit-learn",51104,130405
Jones-Marshall,Finance,NLP Engineer,"Excel, TensorFlow, Pandas, CUDA",Entry,Remote,"Scottberg, MG",2025-08-26,Startup,"MLflow, FastAPI, TensorFlow",143177,155682
Murphy-Rosales,Education,NLP Engineer,"FastAPI, PyTorch, CUDA, Flask, Scikit-learn",Mid,Internship,"West Jesse, NG",2025-07-13,Large,"LangChain, BigQuery",139393,162837
Solis-Thornton,Healthcare,ML Engineer,"Hugging Face, Python, FastAPI, CUDA, GCP",Entry,Full-time,"East Autumn, AM",2024-10-10,Mid,"LangChain, BigQuery",95581.5,151635
Michael Ltd,Healthcare,Computer Vision Engineer,"PyTorch, MLflow, Scikit-learn, Excel, Pandas",Senior,Full-time,"Maldonadoville, PL",2025-08-09,Startup,LangChain,107083,124486
Alexander and Sons,Education,AI Researcher,"Pandas, R, FastAPI, AWS, MLflow, Python",Senior,Full-time,"Richardside, PY",2024-11-15,Startup,"LangChain, FastAPI",126865,190621
"Travis, Fletcher and Rodriguez",Finance,Computer Vision Engineer,"Python, SQL, Power BI, Scikit-learn, FastAPI",Mid,Contract,"Port Julieburgh, KW",2023-12-18,Large,"FastAPI, KDB+, LangChain",127896,227744
Lozano-Hill,Healthcare,Data Analyst,"Keras, NumPy, Excel, C++, Pandas",Entry,Contract,"South Stephanieville, BS",2024-05-22,Large,"TensorFlow, BigQuery",133789,170501
"Farmer, Leach and Norris",Retail,Computer Vision Engineer,"Keras, Power BI, MLflow, AWS",Entry,Contract,"Williamsbury, DO",2025-09-03,Mid,TensorFlow,126422,179630
Price-Nichols,Healthcare,ML Engineer,"Pandas, MLflow, Hugging Face, SQL",Entry,Contract,"South Fredview, PL",2025-07-22,Startup,TensorFlow,53156,131761
"Gonzalez, Jackson and Williams",Retail,Data Scientist,"Hugging Face, LangChain, Azure, Scikit-learn, Flask",Senior,Internship,"Heatherport, DO",2025-08-09,Large,"KDB+, BigQuery, MLflow",95581.5,151635
"Dodson, Palmer and Huber",Education,Quant Researcher,"Python, Pandas, NumPy, MLflow",Entry,Full-time,"Alejandromouth, CU",2025-02-26,Mid,KDB+,129308,160166
Morris-Sanchez,Finance,Data Scientist,"Power BI, GCP, Scikit-learn",Senior,Internship,"New James, CR",2025-03-21,Mid,TensorFlow,112263,190554
Cobb-Lindsey,E-commerce,NLP Engineer,"FastAPI, TensorFlow, NumPy, AWS, Azure",Entry,Contract,"West Madison, QA",2024-11-19,Mid,"LangChain, Scikit-learn",147332,158887
Ramirez-Goodwin,Automotive,Computer Vision Engineer,"CUDA, Pandas, GCP, LangChain, Azure, TensorFlow",Mid,Full-time,"Tanyachester, TW",2025-04-04,Mid,"KDB+, MLflow",54559,121736
Duran PLC,Healthcare,Computer Vision Engineer,"Keras, GCP, SQL",Senior,Remote,"New David, EG",2023-10-03,Mid,"BigQuery, FastAPI",91427,154726
Kaiser Group,Tech,AI Product Manager,"Power BI, FastAPI, Reinforcement Learning, SQL, Keras, AWS",Senior,Contract,"South Patricktown, NO",2025-03-30,Large,"TensorFlow, Scikit-learn, MLflow",120983,167455
Garcia PLC,Education,ML Engineer,"AWS, Hugging Face, Flask, CUDA",Mid,Contract,"Sanfordmouth, GW",2024-02-06,Large,BigQuery,108083,168433
Steele-Norman,Healthcare,Quant Researcher,"Azure, MLflow, Excel, CUDA",Entry,Internship,"Elainefurt, BS",2024-06-20,Mid,Scikit-learn,43248,86711
Garcia Ltd,Education,AI Researcher,"SQL, Flask, NumPy, Power BI, Excel",Entry,Remote,"Brownstad, LU",2024-09-08,Large,KDB+,73459,87186
Hill LLC,Healthcare,AI Researcher,"GCP, Azure, Reinforcement Learning, TensorFlow, CUDA, FastAPI",Entry,Contract,"Lake Christopher, QA",2024-07-24,Large,Scikit-learn,94345,157493
"Morales, Thomas and Miller",Healthcare,NLP Engineer,"Python, FastAPI, R",Mid,Full-time,"Millermouth, GY",2024-08-28,Mid,"MLflow, Scikit-learn, FastAPI",113621,179602
Kelly-Novak,Finance,Data Scientist,"Scikit-learn, Pandas, GCP, Python, R",Entry,Full-time,"Nicoleside, AD",2025-05-20,Mid,KDB+,43828,137950
Martin-Hernandez,Tech,Quant Researcher,"AWS, Python, GCP, R, C++, FastAPI",Senior,Remote,"North Patrick, KE",2025-06-17,Mid,"Scikit-learn, TensorFlow",118046,186961
Price-Dean,Education,NLP Engineer,"NumPy, LangChain, Excel, Keras",Entry,Full-time,"Dennistown, IQ",2024-03-17,Large,MLflow,143236,210339
Ruiz Inc,Automotive,Data Analyst,"NumPy, Scikit-learn, Keras, TensorFlow, Hugging Face, Excel",Entry,Contract,"Rodriguezfurt, LI",2025-05-07,Large,"LangChain, KDB+",95581.5,151635
"Hudson, Burton and Campbell",E-commerce,Data Analyst,"TensorFlow, R, Hugging Face",Mid,Internship,"Sullivanburgh, BJ",2024-04-05,Startup,Scikit-learn,69403,123368
Roberson Inc,Automotive,NLP Engineer,"Python, Power BI, Pandas, MLflow, Keras, Scikit-learn",Mid,Contract,"New Justin, ZW",2024-01-01,Mid,"MLflow, PyTorch, FastAPI",143437,196807
Gutierrez PLC,Retail,NLP Engineer,"PyTorch, GCP, NumPy, Python, Pandas, Keras",Entry,Contract,"West Fredside, PW",2025-08-10,Mid,"TensorFlow, KDB+, BigQuery",59290,84926
"King, Chambers and Brown",Retail,AI Researcher,"SQL, Excel, Python",Entry,Remote,"Eriktown, GT",2024-10-08,Mid,"Scikit-learn, MLflow",124112,141184
Shannon LLC,Finance,AI Researcher,"GCP, Keras, Azure, SQL, Scikit-learn, NumPy",Entry,Contract,"Port Robert, TR",2024-07-10,Large,BigQuery,93411,137526
Thompson-Norris,Finance,Computer Vision Engineer,"Azure, TensorFlow, PyTorch, AWS, Flask",Senior,Contract,"Davidfort, CU",2024-10-08,Startup,"KDB+, MLflow",98592,132404
Davis and Sons,E-commerce,Quant Researcher,"Hugging Face, Power BI, SQL, FastAPI, C++, Reinforcement Learning",Mid,Internship,"Carrollland, SE",2023-10-31,Large,KDB+,109693,136678
"Reed, Garcia and French",E-commerce,NLP Engineer,"Keras, CUDA, TensorFlow",Entry,Full-time,"West Richardborough, BE",2025-08-03,Startup,"BigQuery, TensorFlow",128381,173902
Anderson-Cruz,Tech,Computer Vision Engineer,"SQL, AWS, Power BI",Mid,Remote,"Jasonshire, TH",2025-04-07,Large,PyTorch,95581.5,151635
King PLC,Finance,Quant Researcher,"NumPy, CUDA, Scikit-learn, Keras, Excel, Pandas",Mid,Contract,"East Sheriton, SV",2024-03-10,Large,Scikit-learn,117985,188287
Baker-Gomez,Finance,AI Product Manager,"NumPy, PyTorch, FastAPI, CUDA, Azure",Entry,Remote,"Sarahview, SE",2024-11-22,Large,"LangChain, KDB+",98649,172840
"Patterson, Bruce and Herring",Retail,NLP Engineer,"Keras, Pandas, MLflow, Scikit-learn",Entry,Remote,"Davechester, LR",2024-12-31,Mid,"PyTorch, KDB+, LangChain",132259,223631
Jackson Inc,Education,Data Analyst,"MLflow, NumPy, Scikit-learn, Azure, Keras",Senior,Internship,"Allenton, UG",2025-03-11,Startup,Scikit-learn,92116,122876
"Thompson, Lewis and Gonzalez",E-commerce,NLP Engineer,"AWS, Hugging Face, Python, Reinforcement Learning, Scikit-learn, LangChain",Entry,Internship,"Westland, KM",2024-09-23,Large,BigQuery,95581.5,151635
Mclean Inc,Healthcare,NLP Engineer,"Keras, Pandas, TensorFlow, CUDA",Mid,Remote,"Shermanshire, MM",2025-02-09,Large,"KDB+, FastAPI",64185,77841
Moore Inc,Automotive,AI Researcher,"Power BI, CUDA, Scikit-learn",Senior,Contract,"Jamesborough, GB",2025-04-23,Mid,"BigQuery, LangChain, FastAPI",95581.5,151635
Flores-Dalton,Automotive,AI Researcher,"CUDA, Reinforcement Learning, TensorFlow, Power BI, FastAPI, LangChain",Senior,Internship,"East Edward, MV",2025-09-01,Mid,TensorFlow,95581.5,151635
Nguyen and Sons,Healthcare,Data Analyst,"C++, MLflow, TensorFlow, NumPy, Excel, R",Entry,Full-time,"Youngborough, CF",2024-02-29,Mid,"PyTorch, FastAPI",119699,195649
Russell Inc,Finance,NLP Engineer,"Excel, CUDA, GCP, Scikit-learn, Python",Entry,Remote,"Morrowview, RS",2024-12-30,Mid,PyTorch,105893,197119
Castillo and Sons,Education,Computer Vision Engineer,"NumPy, MLflow, R, C++",Mid,Full-time,"North Sheilamouth, JP",2024-09-02,Mid,"FastAPI, PyTorch, TensorFlow",144509,185639
Price PLC,Finance,AI Product Manager,"AWS, GCP, R, Power BI",Senior,Contract,"Randallside, CZ",2024-03-05,Mid,"BigQuery, Scikit-learn",125979,196585
"Payne, Vasquez and Arnold",Healthcare,AI Product Manager,"Azure, Hugging Face, C++, Scikit-learn, Flask, Pandas",Mid,Full-time,"Danielfurt, GW",2024-01-14,Large,"LangChain, PyTorch, MLflow",96804,161412
Roth LLC,Retail,Data Analyst,"SQL, AWS, Pandas, PyTorch, LangChain, C++",Senior,Contract,"Royville, BG",2025-08-26,Startup,BigQuery,145387,192153
Bryant and Sons,Automotive,Quant Researcher,"AWS, Pandas, NumPy, LangChain, GCP, Flask",Entry,Contract,"Port Allisonfurt, SN",2025-06-07,Large,"Scikit-learn, TensorFlow",44646,126597
"Morris, Williams and Campbell",Healthcare,ML Engineer,"C++, PyTorch, NumPy, LangChain, AWS, Keras",Mid,Remote,"South Heatherside, KZ",2024-05-14,Startup,TensorFlow,95581.5,151635
Perez Ltd,Healthcare,AI Product Manager,"MLflow, LangChain, Power BI, Scikit-learn, Pandas",Entry,Remote,"West Susan, NG",2025-04-04,Large,"FastAPI, KDB+",142495,193478
Smith-Hernandez,Education,Data Scientist,"NumPy, TensorFlow, GCP, LangChain",Mid,Contract,"Shelbyberg, AO",2024-01-05,Startup,"Scikit-learn, KDB+",52111,123116
"Barber, Green and Fernandez",Retail,Data Analyst,"Scikit-learn, PyTorch, Python, GCP",Entry,Contract,"Ryanberg, MD",2024-07-30,Mid,"MLflow, KDB+",68548,93154
